File Name,Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Words Per Sentence,Complex Word Count,Word Count,Syllable Per Word,Personal Pronouns,Avg Word Length
blackassign0001,38,6,0.727272711,0.027076923,18.89534884,0.256615385,7.660785689,18.89534884,417,1625,1.628307692,1,5.707076923
blackassign0002,63,32,0.326315786,0.049376299,20.91304348,0.314449064,8.490997017,20.91304348,605,1924,1.786382536,0,6.048336798
blackassign0003,43,23,0.303030298,0.039262344,24.72058824,0.348602023,10.0276761,24.72058824,586,1681,1.879833432,0,6.411064842
blackassign0004,41,72,-0.274336281,0.067422434,26.6031746,0.316229117,10.76776149,26.6031746,530,1676,1.767303103,0,6.291169451
blackassign0005,27,8,0.542857127,0.026217228,26.17647059,0.298127341,10.58983917,26.17647059,398,1335,1.761048689,0,6.201498127
blackassign0006,91,24,0.582608691,0.05117935,22.47,0.339563863,9.123825545,22.47,763,2247,1.896751224,0,6.435692034
blackassign0007,36,61,-0.257731956,0.054771316,20.125,0.276679842,8.160671937,20.125,490,1771,1.66177301,0,6.037831733
blackassign0008,32,9,0.560975596,0.027116402,25.62711864,0.345899471,10.38920725,25.62711864,523,1512,1.852513228,0,6.404761905
blackassign0009,40,49,-0.101123594,0.053357314,23.82857143,0.309352518,9.655169579,23.82857143,516,1668,1.760191847,0,6.273381295
blackassign0010,140,175,-0.111111111,0.100063532,12.84897959,0.295425667,5.257762104,12.84897959,930,3148,1.706480305,0,6.333545108
blackassign0011,65,19,0.547619041,0.044350581,24.28205128,0.356388596,9.855375951,24.28205128,675,1894,1.903907075,0,6.450369588
blackassign0012,82,24,0.547169806,0.0547238,20.17708333,0.322663913,8.199898899,20.17708333,625,1937,1.903975219,0,6.397521941
blackassign0013,44,15,0.491525415,0.04788961,33.2972973,0.314123377,13.44456827,33.2972973,387,1232,1.786525974,0,6.304383117
blackassign0014,25,27,-0.038461538,0.031765425,21.25974026,0.306658522,8.626559513,21.25974026,502,1637,1.704337202,0,6.183872938
blackassign0015,39,27,0.181818179,0.039076377,24.12857143,0.310242747,9.77552567,24.12857143,524,1689,1.751924216,0,6.234458259
blackassign0016,40,27,0.194029848,0.039880952,23.33333333,0.311904762,9.458095238,23.33333333,524,1680,1.756547619,0,6.245833333
blackassign0017,52,10,0.677419344,0.037326911,22.75342466,0.316676701,9.228040543,22.75342466,526,1661,1.73871162,1,6.177603853
blackassign0018,38,10,0.583333321,0.029339853,26.81967213,0.299511002,10.84767325,26.81967213,490,1636,1.687041565,0,6.114914425
blackassign0019,63,7,0.799999989,0.035750766,17.32743363,0.337078652,7.065804912,17.32743363,660,1958,1.784984678,0,6.19918284
blackassign0020,13,0,0.999999923,0.010690789,31.17948718,0.303453947,12.59317645,31.17948718,369,1216,1.714638158,0,6.094572368
blackassign0021,25,45,-0.285714282,0.044728434,23.71212121,0.324600639,9.61468874,23.71212121,508,1565,1.805750799,0,6.139297125
blackassign0022,18,9,0.333333321,0.02385159,26.3255814,0.302120141,10.65108061,26.3255814,342,1132,1.722614841,1,6.054770318
blackassign0023,35,14,0.42857142,0.028372901,23.02666667,0.28836132,9.326011195,23.02666667,498,1727,1.752750434,0,6.012738854
blackassign0024,29,3,0.812499975,0.024960998,42.73333333,0.308112324,17.21657826,42.73333333,395,1282,1.717628705,0,6.083463339
blackassign0025,24,9,0.454545441,0.021045918,33.36170213,0.272959184,13.45386452,33.36170213,428,1568,1.603954082,0,5.648596939
blackassign0026,28,15,0.302325574,0.028049576,26.43103448,0.301369863,10.69296174,26.43103448,462,1533,1.700587084,1,5.876060013
blackassign0027,32,24,0.14285714,0.034250765,25.546875,0.26911315,10.32639526,25.546875,440,1635,1.626299694,0,5.742507645
blackassign0028,37,28,0.138461536,0.039804042,28.64912281,0.2865891,11.57428476,28.64912281,468,1633,1.661359461,0,6.022045315
blackassign0029,69,33,0.352941173,0.046596619,24.32222222,0.302878026,9.850040099,24.32222222,663,2189,1.784833257,0,6.257651896
blackassign0030,63,39,0.235294115,0.058993638,18.2,0.260844419,7.384337767,18.2,451,1729,1.628108733,1,5.677270098
blackassign0031,72,35,0.345794389,0.053904282,20.05050505,0.305793451,8.142519401,20.05050505,607,1985,1.808060453,0,6.1697733
blackassign0032,63,25,0.431818177,0.048807543,16.85046729,0.268996118,6.847785363,16.85046729,485,1803,1.685524126,0,5.813643927
blackassign0033,58,25,0.397590357,0.042046606,19.93939394,0.286220871,8.090245924,19.93939394,565,1974,1.701621074,0,5.930597771
blackassign0034,51,24,0.359999995,0.044696067,20.975,0.274135876,8.49965435,20.975,460,1678,1.665673421,0,5.820619785
blackassign0035,37,12,0.510204071,0.035792549,22.44262295,0.27100073,9.085449473,22.44262295,371,1369,1.678597516,0,5.870708546
blackassign0036,0,0,0,0,0,0,0,0,0,0,0,0,0
blackassign0037,44,13,0.54385964,0.042824944,25.11320755,0.263711495,10.15076762,25.11320755,351,1331,1.644628099,0,5.862509391
blackassign0038,70,40,0.27272727,0.051186598,21.92857143,0.280595626,8.883666822,21.92857143,603,2149,1.691949744,0,5.893904141
blackassign0039,54,67,-0.107438016,0.052631579,18.24603175,0.243149195,7.395672377,18.24603175,559,2299,1.5215311,1,5.557633754
